"Dirección IP","Palabra clave","Modelo","Número de serie","Nivel de cartucho negro","Número de serie de cartucho negro","Páginas en carrito con el cartucho negro","Capacidad de cartucho negro","Cobertura de duración de cartucho negro","Último trabajo de cobertura de cartucho negro","Fecha de instalación de cartucho negro","Nivel de unidad de imágenes","Número de serie de la unidad de imagen","Capacidad de unidad de imágenes","Nivel de kit de mantenimiento","Capacidad de kit de mantenimiento","Estado de suministro"
"10.105.12.18 (SECURED CAESAR1)","Edificio D","Lexmark MX511de","70157GHH1TNG9","14","CAD1731518FA","2811","5000","6","9","2021-11-11T14:29:27.000+00:00","88","CAB200373D3A","60000","100","200000","Advertencia"
"10.105.12.36 (SECURED CAESAR1)","Edificio D","Lexmark MX511de","70157GHH1TT65","2","CAB2506469E1","19755","20000","5","2","2025-07-14T14:16:12.000+00:00","100","CAB25351034E","60000","28","200000","Advertencia"
"10.105.12.65 (SECURED CAESAR2)","Edificio C","Lexmark CX725","75281450H6LVT","3","CAB24173252C","21080","25000","3","4","2026-01-08T16:03:46.000+00:00","","","","","","Aceptar"
"10.105.12.73 (UNSECURED CAESAR1)","Edificio D","Lexmark MX511de","70157GHH1TP1P","1","CAB253292E1D","8548","20000","12","5","2026-07-10T14:59:59.000+00:00","49","CAB242223FA5","60000","85","200000","Advertencia"
"10.105.13.3 (SECURED CAESAR1)","Edificio D","Lexmark MX511de","70157GHH1TT6X","56","CAB25064635F","4606","20000","8","2","2026-04-21T13:57:59.000+00:00","60","CAB242223E4E","60000","69","200000","Aceptar"
"10.105.13.24 (SECURED CAESAR2)","Edificio D","Lexmark MX622adhe","701823840HD6L","21","CAB23303220E","16194","25000","6","3","2023-12-28T21:28:49.000+00:00","60","CAD222572271","60000","90","200000","Aceptar"
"10.105.13.32 (SECURED CAESAR2)","Edificio D","Lexmark MX522adhe","701724540X8HN","68","CAB242827069","6848","25000","7","4","2026-04-07T16:52:39.000+00:00","39","CAD2135673DF","60000","52","200000","Aceptar"
"10.105.13.50 (SECURED CAESAR2)","Edificio D","Lexmark MX522adhe","701723740WPMH","62","CAB24352123F","7250","25000","6","1","2025-11-05T17:38:40.000+00:00","59","CAB24008544B","60000","77","200000","Aceptar"
"10.105.13.61 (SECURED CAESAR2)","Edificio D","Lexmark CX522ade","752922714LYLL","32","CAB250700ED2","2842","8500","6","10","2025-08-13T16:12:08.000+00:00","89","CAD2217440C4","125000","91","125000","Aceptar"
"10.105.14.3 (SECURED CAESAR2)","Edificio D","Lexmark CX522ade","752910514BZ1R","31","CAB242787978","3323","8500","6","","2025-01-10T21:27:02.000+00:00","82","CAD210331B50","125000","87","125000","Advertencia"
