"Dirección IP","Palabra clave","Modelo","Número de serie","Nivel de cartucho negro","Número de serie de cartucho negro","Páginas en carrito con el cartucho negro","Capacidad de cartucho negro","Cobertura de duración de cartucho negro","Último trabajo de cobertura de cartucho negro","Fecha de instalación de cartucho negro","Nivel de unidad de imágenes","Número de serie de la unidad de imagen","Capacidad de unidad de imágenes","Nivel de kit de mantenimiento","Capacidad de kit de mantenimiento","Estado de suministro"
"10.60.185.139 (UNSECURED CAESAR1_LITE)","CD San Juan","Lexmark MS811","40635C66065NK","70","CAB230763C5A","14086","45000","4","2","2023-10-31T15:27:57.000+00:00","76","CAB221990D63","100000","74","200000","Aceptar"
"10.60.185.206 (UNSECURED CAESAR1)","CD San Juan","Lexmark MX511de","70157GHH1TP1Z","25","CAB253292A9A","8232","20000","7","5","2026-06-09T13:20:30.000+00:00","36","CAB242223FB6","60000","55","200000","Aceptar"
"10.80.101.70 (UNSECURED CAESAR1)","Home Office","Lexmark MX711","7463479905ZVX","79","CAB243102E45","7264","45000","5","4","2025-05-21T20:17:55.000+00:00","48","CAB2331470C7","100000","39","200000","Aceptar"
"10.80.101.82 (UNSECURED CAESAR1)","Home Office","Lexmark MX711","74634C66010BL","25","CAB2308818F7","15214","45000","9","3","2024-07-31T22:00:47.000+00:00","52","CAB221990E03","100000","51","200000","Aceptar"
"10.80.105.38 (UNSECURED CAESAR1)","Home Office","Lexmark MX511de","70157GHH1TNGH","59","CAB24292374B","7298","20000","5","2","2024-06-28T23:37:02.000+00:00","81","CAB241870187","60000","100","200000","Aceptar"
"10.80.105.54 (UNSECURED CAESAR1)","Home Office","Lexmark MX711","74634C660108Z","78","CAB251411CC3","10929","45000","4","4","2025-12-11T14:35:58.000+00:00","52","CAB230383A6B","100000","26","200000","Aceptar"
"10.80.105.65 (UNSECURED CAESAR1)","Home Office","Lexmark MX711","74634C660167B","27","CAB250220F69","37136","45000","1","11","2026-05-06T16:21:10.000+00:00","31","CAB2502801C1","100000","71","200000","Aceptar"
"10.80.105.73 (UNSECURED CAESAR2)","Home Office","Lexmark MX722adhe","7464502128TD8","48","CAB250486E80","3349","11000","7","2","2025-07-15T22:31:46.000+00:00","100","CAB2505056F0","150000","100","225000","Aceptar"
"10.80.105.117 (UNSECURED CAESAR2)","Home Office","Lexmark CS521dn","502923903THCZ","","CAB220420457","8269","10500","4","13","2026-01-28T22:05:22.000+00:00","84","CAH2400507BF","125000","87","125000","Advertencia"
"10.80.105.119 (UNSECURED CAESAR1)","Home Office","Lexmark MX711","74634C66015XL","56","CAB1926040F1","14654","45000","6","2","2020-08-10T17:00:52.000+00:00","93","CAB223081DD5","100000","52","200000","Aceptar"
"10.80.106.33 (UNSECURED CAESAR1)","Home Office","Lexmark MX711","74634C66010BK","32","CAB253371687","9113","45000","13","2","2026-08-19T21:51:52.000+00:00","87","CAB25028016A","100000","100","200000","Aceptar"
"10.80.106.59 (UNSECURED CAESAR1)","Home Office","Lexmark MX711","74636C6600VFP","100","CAB25337161B","183","45000","3","2","2025-10-14T01:57:29.000+00:00","35","CAB220690AAA","100000","5","200000","Aceptar"
"10.81.5.31 (UNSECURED CAESAR1)","CD Apopa","Lexmark MX511de","70157GHH1KZ50","82","CAB2506463B2","2510","20000","5","2","2026-02-05T15:15:28.000+00:00","49","CAB22285500C","60000","75","200000","Aceptar"
"10.81.5.60 (UNSECURED CAESAR1)","CD Apopa","Lexmark MX511de","70155PHH0YGFK","28","CAB253292C6A","7569","20000","9","8","2026-09-02T14:45:41.000+00:00","41","CAB253501407","60000","47","200000","Aceptar"
"10.81.5.78 (UNSECURED CAESAR1)","CD Apopa","Lexmark MX511de","70157GHH1TT45","100","CAB253292DB9","1184","20000","6","9","2026-05-26T16:37:51.000+00:00","34","CAD201195ADB","60000","69","200000","Aceptar"
"10.81.5.130 (UNSECURED CAESAR1)","CD Apopa","Lexmark MX511de","70157GHH1RF3Y","54","CAB231563DC1","6021","20000","6","4","2017-12-06T13:14:23.000+00:00","85","CAB222854EA9","60000","69","200000","Aceptar"
"10.81.6.17 (UNSECURED CAESAR1_LITE)","CD Apopa","Lexmark MS811","40633699078WG","34","CAB241483D3B","21178","45000","7","3","2024-11-22T15:18:58.000+00:00","82","CAB2431750E0","100000","31","200000","Aceptar"
"10.81.6.226 (UNSECURED CAESAR1_LITE)","CD Apopa","Lexmark MS811","40638D6601K23","100","CAB253370F91","126","45000","6","4","2026-08-31T20:52:59.000+00:00","37","CAB1908027F8","100000","86","200000","Aceptar"
"10.81.7.59 (UNSECURED CAESAR1_LITE)","CD Apopa","Lexmark MS811","40637D6604WC4","88","CAB2533713D0","2811","45000","9","3","2026-06-11T17:27:56.000+00:00","27","CAB2023115AC","100000","44","200000","Aceptar"
"10.81.7.92 (UNSECURED CAESAR1)","CD Apopa","Lexmark MX711","7463369904NM4","14","CAB2502211A4","37978","45000","5","5","2025-11-07T21:12:06.000+00:00","26","CAB250280207","100000","39","200000","Aceptar"
"10.81.7.100 (SECURED CAESAR1_LITE)","CD Apopa","Lexmark MS811","40638D6601K80","100","CAB253371323","238","45000","1","10","2026-09-18T16:40:16.000+00:00","100","CAB2516202FE","100000","75","200000","Aceptar"
"10.81.7.118 (UNSECURED CAESAR1)","CD Apopa","Lexmark MX711","74634C66013T0","22","CAB212581946","25688","45000","6","3","2023-10-02T16:02:51.000+00:00","32","CAB20231181A","100000","80","200000","Aceptar"
"10.81.7.200 (UNSECURED CAESAR1)","CD Apopa","Lexmark MX511de","70155PHH0YGG6","24","CAB26114455E","7556","20000","8","10","2026-09-02T11:59:04.000+00:00","62","CAB253500491","60000","24","200000","Aceptar"
"10.81.21.17 (UNSECURED CAESAR1)","ICI APOPA","Lexmark MX711","7463479905ZY1","37","CAB2308818D5","19981","45000","6","2","2024-06-06T19:25:24.000+00:00","63","CAB230333DBC","100000","53","200000","Aceptar"
"10.81.21.18 (UNSECURED CAESAR1)","ICI APOPA","Lexmark MX711","74634C6601097","61","CAB250221069","13811","45000","6","5","2025-11-26T22:02:43.000+00:00","100","CAB2518350B2","100000","80","200000","Aceptar"
"10.81.21.30 (UNSECURED CAESAR1_LITE)","ICI APOPA","Lexmark MS811","40635C6600DXG","13","CAB25337169C","26116","45000","7","10","2019-04-15T15:43:57.000+00:00","90","CAB2516202D9","100000","82","200000","Aceptar"
"10.81.21.88 (UNSECURED CAESAR1_LITE)","ICI APOPA","Lexmark MS811","40635C6600Z71","20","CAB1908176EC","27508","45000","6","6","2019-06-14T01:08:30.000+00:00","92","CAB241860A0E","100000","82","200000","Aceptar"
"10.81.22.18 (UNSECURED CAESAR1_LITE)","ICI APOPA","Lexmark MS811","40636C6604PLL","87","CAB25337139A","6860","45000","4","3","2026-09-10T16:13:55.000+00:00","53","CAB25162029D","100000","100","200000","Aceptar"
"10.81.22.80 (UNSECURED CAESAR2)","ICI APOPA","Lexmark MS823dn","40649190169YX","70","CAB2214307CA","12812","55000","7","2","2023-04-12T18:08:37.000+00:00","85","CAD19122923A","150000","90","225000","Aceptar"
"10.81.22.152 (UNSECURED CAESAR2)","ICI APOPA","Lexmark MS823dn","4064919016B04","85","CAB251391174","6994","55000","7","4","2026-07-14T23:49:02.000+00:00","90","CAB242814F16","150000","93","225000","Aceptar"
"10.81.23.141 (UNSECURED CAESAR1_LITE)","ICI APOPA","Lexmark MS811","40638D6602MDT","21","CAB253370EF1","32994","45000","5","5","2026-07-31T16:18:45.000+00:00","88","CAB2516201E1","100000","45","200000","Aceptar"
"10.81.37.143 (UNSECURED CAESAR1)","HORTIFRUTI","Lexmark MX511de","70157GHH1RF76","71","CAB26162312D","4933","20000","5","4","2026-09-07T14:52:48.000+00:00","70","CAB2535014BB","60000","92","200000","Aceptar"
"10.81.38.211 (UNSECURED CAESAR1_LITE)","HORTIFRUTI","Lexmark MS811","40638D6602R6Y","26","CAB1905938EA","26030","25000","3","12","2018-08-29T03:20:53.000+00:00","100","CAB250711909","100000","52","200000","Aceptar"
"22.96.16.123 (UNSECURED CAESAR1_LITE)","Despensa Familiar Lourdes","Lexmark MS811","40638D66023BM","26","CAB232645CD6","20598","45000","7","6","2024-05-14T18:24:43.000+00:00","91","CAB2431750FF","100000","19","200000","Aceptar"
"22.96.16.146 (UNSECURED CAESAR1)","Despensa Familiar Lourdes","Lexmark MX511de","70157GHH1KFLC","2","CAB2506469B1","36873","20000","2","2","2025-11-05T19:23:40.000+00:00","6","CAB24186781E","60000","38","200000","Aceptar"
